dv,logdv,period,model,restriction,endogenous,instrumented,latestart,weights,decadal_dv,decadal_shock,dropoutliers,dropsmallczs,prefmods,i
D.incRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,ols,samestart,yes,yes,yes,no,no,FALSE,1
D.incRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,ols,samestart,yes,yes,yes,no,no,FALSE,2
D.incRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,ols,samestart,yes,yes,yes,no,no,FALSE,3
D.incRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,ols,samestart,yes,yes,yes,no,no,FALSE,4
D.incRate_latinx_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,ols,samestart,yes,yes,yes,no,no,FALSE,5
D.incRate_latinx_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,ols,samestart,yes,yes,yes,no,no,FALSE,6
D.incRate_native_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,ols,samestart,yes,yes,yes,no,no,FALSE,7
D.incRate_native_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,ols,samestart,yes,yes,yes,no,no,FALSE,8
D.incRate_white_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,ols,samestart,yes,yes,yes,no,no,FALSE,9
D.incRate_white_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,ols,samestart,yes,yes,yes,no,no,FALSE,10
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,manuf_china,ols,samestart,yes,yes,yes,no,no,FALSE,11
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,unemp_china,ols,samestart,yes,yes,yes,no,no,FALSE,12
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,TRUE,13
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,TRUE,14
D.agasslt_crt,FALSE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,latestart,yes,yes,yes,no,no,FALSE,15
D.agasslt_crt,FALSE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,latestart,yes,yes,yes,no,no,FALSE,16
D.arson_crt,FALSE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,latestart,yes,yes,yes,no,no,FALSE,17
D.arson_crt,FALSE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,latestart,yes,yes,yes,no,no,FALSE,18
D.burglry_crt,FALSE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,latestart,yes,yes,yes,no,no,FALSE,19
D.burglry_crt,FALSE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,latestart,yes,yes,yes,no,no,FALSE,20
D.courtspend,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,21
D.courtspend,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,22
D.courtspend_d,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,23
D.courtspend_d,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,24
D.eduspend,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,25
D.eduspend,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,26
D.eduspend_d,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,27
D.eduspend_d,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,28
D.employees,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,29
D.employees,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,30
D.employees_all,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,31
D.employees_all,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,32
D.healthspend,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,33
D.healthspend,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,34
D.healthspend_d,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,35
D.healthspend_d,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,36
D.impRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,37
D.impRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,38
D.impRate_aapi_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,39
D.impRate_aapi_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,40
D.impRate_aapi_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,41
D.impRate_aapi_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,42
D.impRate_aapi_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,43
D.impRate_aapi_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,44
D.impRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,45
D.impRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,46
D.impRate_black_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,47
D.impRate_black_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,48
D.impRate_black_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,49
D.impRate_black_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,50
D.impRate_black_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,51
D.impRate_black_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,52
D.impRate_corrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,53
D.impRate_corrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,54
D.impRate_corrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,55
D.impRate_corrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,56
D.impRate_corrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,57
D.impRate_corrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,58
D.impRate_corrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,59
D.impRate_corrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,60
D.impRate_corrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,61
D.impRate_corrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,62
D.impRate_corrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,63
D.impRate_corrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,64
D.impRate_corrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,65
D.impRate_corrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,66
D.impRate_corrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,67
D.impRate_corrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,68
D.impRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,69
D.impRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,70
D.impRate_corrected_estimated_5,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,71
D.impRate_corrected_estimated_5,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,72
D.impRate_corrected_estimated_50,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,73
D.impRate_corrected_estimated_50,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,74
D.impRate_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,75
D.impRate_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,76
D.impRate_latinx_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,77
D.impRate_latinx_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,78
D.impRate_latinx_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,79
D.impRate_latinx_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,80
D.impRate_latinx_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,81
D.impRate_latinx_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,82
D.impRate_latinx_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,83
D.impRate_latinx_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,84
D.impRate_native_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,85
D.impRate_native_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,86
D.impRate_native_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,87
D.impRate_native_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,88
D.impRate_native_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,89
D.impRate_native_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,90
D.impRate_native_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,91
D.impRate_native_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,92
D.impRate_uncorrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,93
D.impRate_uncorrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,94
D.impRate_uncorrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,95
D.impRate_uncorrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,96
D.impRate_uncorrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,97
D.impRate_uncorrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,98
D.impRate_uncorrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,99
D.impRate_uncorrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,100
D.impRate_uncorrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,101
D.impRate_uncorrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,102
D.impRate_uncorrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,103
D.impRate_uncorrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,104
D.impRate_uncorrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,105
D.impRate_uncorrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,106
D.impRate_uncorrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,107
D.impRate_uncorrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,108
D.impRate_uncorrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,109
D.impRate_uncorrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,110
D.impRate_uncorrected_estimated_5,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,111
D.impRate_uncorrected_estimated_5,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,112
D.impRate_uncorrected_estimated_50,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,113
D.impRate_uncorrected_estimated_50,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,114
D.impRate_uncorrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,115
D.impRate_uncorrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,116
D.impRate_white_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,117
D.impRate_white_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,118
D.impRate_white_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,119
D.impRate_white_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,120
D.impRate_white_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,121
D.impRate_white_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,122
D.impRate_white_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,123
D.impRate_white_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,124
D.incRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,125
D.incRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,126
D.incRate_aapi_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,127
D.incRate_aapi_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,128
D.incRate_aapi_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,129
D.incRate_aapi_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,130
D.incRate_aapi_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,131
D.incRate_aapi_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,132
D.incRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,133
D.incRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,134
D.incRate_black_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,135
D.incRate_black_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,136
D.incRate_black_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,137
D.incRate_black_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,138
D.incRate_black_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,139
D.incRate_black_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,140
D.incRate_corrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,141
D.incRate_corrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,142
D.incRate_corrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,143
D.incRate_corrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,144
D.incRate_corrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,145
